"filename", "language", "JSON", "Markdown", "JavaScript", "Handlebars", "SCSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\package-lock.json", "JSON", 3773, 0, 0, 0, 0, 0, 1, 3774
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\package.json", "JSON", 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\config\db\index.js", "JavaScript", 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\GroupController.js", "JavaScript", 0, 0, 105, 0, 0, 4, 11, 120
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\HomeController.js", "JavaScript", 0, 0, 14, 0, 0, 1, 3, 18
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\PostController.js", "JavaScript", 0, 0, 133, 0, 0, 6, 15, 154
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\TopicController.js", "JavaScript", 0, 0, 104, 0, 0, 4, 11, 119
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\UserController.js", "JavaScript", 0, 0, 157, 0, 0, 4, 14, 175
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\models\group.js", "JavaScript", 0, 0, 98, 0, 0, 0, 10, 108
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\models\home.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\models\post.js", "JavaScript", 0, 0, 130, 0, 0, 1, 12, 143
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\models\topic.js", "JavaScript", 0, 0, 93, 0, 0, 0, 10, 103
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\controller\models\user.js", "JavaScript", 0, 0, 147, 0, 0, 0, 15, 162
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\scss\app.scss", "SCSS", 0, 0, 0, 0, 47, 0, 6, 53
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\group.hbs", "Handlebars", 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\groupDetail.hbs", "Handlebars", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\groupInsert.hbs", "Handlebars", 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\groupPosts.hbs", "Handlebars", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\groupUpdate.hbs", "Handlebars", 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\home.hbs", "Handlebars", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\layouts\main.hbs", "Handlebars", 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\partials\footer.hbs", "Handlebars", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\partials\header.hbs", "Handlebars", 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\post.hbs", "Handlebars", 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\postDetail.hbs", "Handlebars", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\postInsert.hbs", "Handlebars", 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\postUpdate.hbs", "Handlebars", 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\topic.hbs", "Handlebars", 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\topicDetail.hbs", "Handlebars", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\topicInsert.hbs", "Handlebars", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\topicPosts.hbs", "Handlebars", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\topicUpdate.hbs", "Handlebars", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\user.hbs", "Handlebars", 0, 0, 0, 59, 0, 0, 5, 64
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userDetail.hbs", "Handlebars", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userFollower.hbs", "Handlebars", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userGroups.hbs", "Handlebars", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userInsert.hbs", "Handlebars", 0, 0, 0, 37, 0, 0, 8, 45
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userPosts.hbs", "Handlebars", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userTopics.hbs", "Handlebars", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\resources\views\userUpdate.hbs", "Handlebars", 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\group.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\home.js", "JavaScript", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\post.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\topic.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\routes\user.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Lenovo\Desktop\HCMUT221\DatabaseLab\Outmeta-BE\src\server.js", "JavaScript", 0, 0, 22, 0, 0, 3, 5, 30
"Total", "-", 3812, 2, 1116, 537, 47, 23, 191, 5728